Date,Trx Count
1/1/2021,43145
1/2/2021,45258
1/3/2021,46717
1/4/2021,46525
1/5/2021,45940
1/6/2021,44390
1/7/2021,44843
1/8/2021,38950
1/9/2021,40488
1/10/2021,42943
1/11/2021,41985
1/12/2021,40370
1/13/2021,39869
1/14/2021,42121
1/15/2021,38479
1/16/2021,38112
1/17/2021,40445
1/18/2021,40351
1/19/2021,39450
1/20/2021,37804
1/21/2021,40054
1/22/2021,36200
1/23/2021,35524
1/24/2021,38131
1/25/2021,41259
1/26/2021,43181
1/27/2021,55803
1/28/2021,53253
1/29/2021,46240
1/30/2021,46615
1/31/2021,46444
2/1/2021,48464
2/2/2021,46533
2/3/2021,47427
2/4/2021,47318
2/5/2021,42211
2/6/2021,43009
2/7/2021,43280
2/8/2021,45231
2/9/2021,44691
2/10/2021,45049
2/11/2021,48652
2/12/2021,45295
2/13/2021,44418
2/14/2021,46795
2/15/2021,43823
2/16/2021,41042
2/17/2021,40605
2/18/2021,43919
2/19/2021,38659
2/20/2021,37270
2/21/2021,38792
2/22/2021,38478
2/23/2021,38994
2/24/2021,39852
2/25/2021,48264
2/26/2021,42313
2/27/2021,44177
2/28/2021,62151
3/1/2021,60270
3/2/2021,54231
3/3/2021,51209
3/4/2021,51097
3/5/2021,47088
3/6/2021,47266
3/7/2021,46460
3/8/2021,51512
3/9/2021,45445
3/10/2021,46857
3/11/2021,48668
3/12/2021,44971
3/13/2021,43699
3/14/2021,45966
3/15/2021,43248
3/16/2021,43295
3/17/2021,46834
3/18/2021,47400
3/19/2021,43043
3/20/2021,46212
3/21/2021,45654
3/22/2021,41965
3/23/2021,41335
3/24/2021,45044
3/25/2021,49235
3/26/2021,43941
3/27/2021,43998
3/28/2021,56027
3/29/2021,57204
3/30/2021,53371
3/31/2021,54735
4/1/2021,57005
4/2/2021,48897
4/3/2021,47962
4/4/2021,48434
4/5/2021,50066
4/6/2021,49855
4/7/2021,47024
4/8/2021,49296
4/9/2021,43819
4/10/2021,43266
4/11/2021,45391
4/12/2021,45694
4/13/2021,37347
4/14/2021,36858
4/15/2021,43144
4/16/2021,45840
4/17/2021,40366
4/18/2021,43740
4/19/2021,41658
4/20/2021,45680
4/21/2021,47700
4/22/2021,43648
4/23/2021,45259
4/24/2021,47613
4/25/2021,46621
4/26/2021,51156
4/27/2021,65911
4/28/2021,68570
4/29/2021,58264
4/30/2021,58592
5/1/2021,56302
5/2/2021,62671
5/3/2021,63594
5/4/2021,66816
5/5/2021,73917
5/6/2021,87500
5/7/2021,64472
5/8/2021,101467
5/9/2021,91595
5/10/2021,89904
5/11/2021,79239
5/12/2021,69808
5/13/2021,31330
5/14/2021,35571
5/15/2021,40202
5/16/2021,44805
5/17/2021,47894
5/18/2021,47592
5/19/2021,46184
5/20/2021,47610
5/21/2021,47558
5/22/2021,45014
5/23/2021,45930
5/24/2021,48261
5/25/2021,51192
5/26/2021,55966
5/27/2021,72023
5/28/2021,58030
5/29/2021,57505
5/30/2021,57662
5/31/2021,58855
6/1/2021,61078
6/2/2021,60828
6/3/2021,61312
6/4/2021,55074
6/5/2021,54748
6/6/2021,57254
6/7/2021,56995
6/8/2021,55739
6/9/2021,57155
6/10/2021,59128
6/11/2021,55547
6/12/2021,51095
6/13/2021,51769
6/14/2021,51746
6/15/2021,52180
6/16/2021,58243
6/17/2021,52715
6/18/2021,51002
6/19/2021,51316
6/20/2021,53772
6/21/2021,54572
6/22/2021,57857
6/23/2021,57501
6/24/2021,63381
6/25/2021,57151
6/26/2021,59443
6/27/2021,86376
6/28/2021,77593
6/29/2021,77275
6/30/2021,74368
7/1/2021,72828
7/2/2021,63372
7/3/2021,63591
7/4/2021,64303
7/5/2021,65575
7/6/2021,64258
7/7/2021,63741
7/8/2021,69177
7/9/2021,64269
7/10/2021,59590
7/11/2021,63740
7/12/2021,60703
7/13/2021,83543
7/14/2021,66905
7/15/2021,64878
7/16/2021,62649
7/17/2021,59890
7/18/2021,64197
7/19/2021,84297
7/20/2021,40065
7/21/2021,44011
7/22/2021,45523
7/23/2021,46009
7/24/2021,50130
7/25/2021,55884
7/26/2021,61598
7/27/2021,80214
7/28/2021,79052
7/29/2021,69732
7/30/2021,62824
7/31/2021,61956
8/1/2021,66354
8/2/2021,65102
8/3/2021,67825
8/4/2021,63964
8/5/2021,68615
8/6/2021,63237
8/7/2021,63232
8/8/2021,59437
8/9/2021,63310
8/10/2021,64895
8/11/2021,61174
8/12/2021,64088
8/13/2021,59060
8/14/2021,55395
8/15/2021,54703
8/16/2021,55200
8/17/2021,56324
8/18/2021,55337
8/19/2021,62941
8/20/2021,54640
8/21/2021,53252
8/22/2021,51441
8/23/2021,53322
8/24/2021,60204
8/25/2021,69469
8/26/2021,86575
8/27/2021,68964
8/28/2021,66586
8/29/2021,57991
8/30/2021,56326
8/31/2021,56430
9/1/2021,58562
9/2/2021,58866
9/3/2021,54147
9/4/2021,52653
9/5/2021,52418
9/6/2021,51344
9/7/2021,51863
9/8/2021,51692
9/9/2021,54365
9/10/2021,51445
9/11/2021,49279
9/12/2021,45453
9/13/2021,45474
9/14/2021,46175
9/15/2021,45423
9/16/2021,47754
9/17/2021,40447
9/18/2021,39985
9/19/2021,44727
9/20/2021,48194
9/21/2021,49362
9/22/2021,53434
9/23/2021,48051
9/24/2021,42963
9/25/2021,42354
9/26/2021,58181
9/27/2021,78126
9/28/2021,66793
9/29/2021,61826
9/30/2021,63429
10/1/2021,55089
10/2/2021,51341
10/3/2021,56047
10/4/2021,66371
10/5/2021,54723
10/6/2021,55679
10/7/2021,60608
10/8/2021,65294
10/9/2021,57902
10/10/2021,59060
10/11/2021,54417
10/12/2021,52549
10/13/2021,58059
10/14/2021,56734
10/15/2021,52861
10/16/2021,51204
10/17/2021,53209
10/18/2021,56359
10/19/2021,54726
10/20/2021,47518
10/21/2021,46005
10/22/2021,42397
10/23/2021,44109
10/24/2021,51195
10/25/2021,60363
10/26/2021,56888
10/27/2021,86756
10/28/2021,75757
10/29/2021,57813
10/30/2021,53393
10/31/2021,58473
11/1/2021,61653
11/2/2021,56048
11/3/2021,60218
11/4/2021,63270
11/5/2021,53347
11/6/2021,52509
11/7/2021,58745
11/8/2021,54417
11/9/2021,51243
11/10/2021,55075
11/11/2021,54844
11/12/2021,47398
