Row Labels,Trx Count
01-Jan-2023,129459
02-Jan-2023,126549
03-Jan-2023,118171
04-Jan-2023,121478
05-Jan-2023,124172
06-Jan-2023,100835
07-Jan-2023,101996
08-Jan-2023,113429
09-Jan-2023,111999
10-Jan-2023,112738
11-Jan-2023,117955
12-Jan-2023,115938
13-Jan-2023,104838
14-Jan-2023,101228
15-Jan-2023,107368
16-Jan-2023,122517
17-Jan-2023,110358
18-Jan-2023,109962
19-Jan-2023,105161
20-Jan-2023,88723
21-Jan-2023,88179
22-Jan-2023,98557
23-Jan-2023,100986
24-Jan-2023,105686
25-Jan-2023,129730
26-Jan-2023,169439
27-Jan-2023,123920
28-Jan-2023,112916
29-Jan-2023,126137
30-Jan-2023,135216
31-Jan-2023,144445
01-Feb-2023,153702
02-Feb-2023,149262
03-Feb-2023,114613
04-Feb-2023,108603
05-Feb-2023,117937
06-Feb-2023,130359
07-Feb-2023,119125
08-Feb-2023,120417
09-Feb-2023,131915
10-Feb-2023,105081
11-Feb-2023,104556
12-Feb-2023,125092
13-Feb-2023,125790
14-Feb-2023,127676
15-Feb-2023,119202
16-Feb-2023,136775
17-Feb-2023,108031
18-Feb-2023,102345
19-Feb-2023,118300
20-Feb-2023,123365
21-Feb-2023,135003
22-Feb-2023,125176
23-Feb-2023,118207
24-Feb-2023,114083
25-Feb-2023,107139
26-Feb-2023,145513
27-Feb-2023,189536
28-Feb-2023,198258
01-Mar-2023,174357
02-Mar-2023,156588
03-Mar-2023,121057
04-Mar-2023,116027
05-Mar-2023,123573
06-Mar-2023,127985
07-Mar-2023,130843
08-Mar-2023,126207
09-Mar-2023,127330
10-Mar-2023,106593
11-Mar-2023,104950
12-Mar-2023,112869
13-Mar-2023,115193
14-Mar-2023,119320
15-Mar-2023,112985
16-Mar-2023,117284
17-Mar-2023,101988
18-Mar-2023,95143
19-Mar-2023,119758
20-Mar-2023,112150
21-Mar-2023,111251
22-Mar-2023,119797
23-Mar-2023,98676
24-Mar-2023,74944
25-Mar-2023,77415
26-Mar-2023,104318
27-Mar-2023,141352
28-Mar-2023,127525
29-Mar-2023,121626
30-Mar-2023,134030
31-Mar-2023,134851
01-Apr-2023,126344
02-Apr-2023,150412
03-Apr-2023,145695
04-Apr-2023,119267
05-Apr-2023,118887
06-Apr-2023,129824
07-Apr-2023,100326
08-Apr-2023,115934
09-Apr-2023,116985
10-Apr-2023,121292
11-Apr-2023,147724
12-Apr-2023,136017
13-Apr-2023,154818
14-Apr-2023,146037
15-Apr-2023,136252
16-Apr-2023,150659
17-Apr-2023,204292
18-Apr-2023,161442
19-Apr-2023,154191
20-Apr-2023,139160
21-Apr-2023,91549
22-Apr-2023,96315
23-Apr-2023,102017
24-Apr-2023,106473
25-Apr-2023,120365
26-Apr-2023,138260
27-Apr-2023,171394
28-Apr-2023,130296
29-Apr-2023,132081
30-Apr-2023,158399
01-May-2023,166849
02-May-2023,155178
03-May-2023,149634
04-May-2023,151005
05-May-2023,132315
06-May-2023,125873
07-May-2023,131370
08-May-2023,135324
09-May-2023,130755
10-May-2023,147979
11-May-2023,146861
12-May-2023,129472
13-May-2023,115229
14-May-2023,127984
15-May-2023,119080
16-May-2023,127924
17-May-2023,140231
18-May-2023,144269
19-May-2023,117575
20-May-2023,107410
21-May-2023,126557
22-May-2023,125740
23-May-2023,120580
24-May-2023,129556
25-May-2023,199825
26-May-2023,122575
27-May-2023,132483
28-May-2023,192551
29-May-2023,164465
30-May-2023,166429
31-May-2023,161595
01-Jun-2023,172889
02-Jun-2023,142301
03-Jun-2023,131597
04-Jun-2023,149330
05-Jun-2023,157061
06-Jun-2023,142902
07-Jun-2023,147709
08-Jun-2023,150273
09-Jun-2023,120909
10-Jun-2023,119629
11-Jun-2023,149334
12-Jun-2023,150854
13-Jun-2023,136193
14-Jun-2023,133463
15-Jun-2023,140282
16-Jun-2023,134913
17-Jun-2023,120371
18-Jun-2023,134940
19-Jun-2023,140806
20-Jun-2023,135663
21-Jun-2023,148245
22-Jun-2023,155809
23-Jun-2023,132704
24-Jun-2023,130428
25-Jun-2023,178627
26-Jun-2023,168704
27-Jun-2023,243622
28-Jun-2023,97955
29-Jun-2023,106837
30-Jun-2023,110287
01-Jul-2023,121797
02-Jul-2023,135616
03-Jul-2023,139552
04-Jul-2023,146559
05-Jul-2023,143488
06-Jul-2023,144120
07-Jul-2023,121447
08-Jul-2023,123415
09-Jul-2023,144415
10-Jul-2023,156272
11-Jul-2023,141917
12-Jul-2023,143589
13-Jul-2023,145065
14-Jul-2023,126286
15-Jul-2023,122586
16-Jul-2023,136014
17-Jul-2023,151062
18-Jul-2023,134202
19-Jul-2023,132522
20-Jul-2023,135261
21-Jul-2023,124221
22-Jul-2023,116398
23-Jul-2023,129825
24-Jul-2023,141769
25-Jul-2023,144355
26-Jul-2023,154671
27-Jul-2023,186969
28-Jul-2023,153432
29-Jul-2023,137635
30-Jul-2023,165866
31-Jul-2023,166228
01-Aug-2023,174111
02-Aug-2023,161956
03-Aug-2023,155373
04-Aug-2023,131303
05-Aug-2023,127925
06-Aug-2023,142653
07-Aug-2023,148826
08-Aug-2023,140343
09-Aug-2023,137019
10-Aug-2023,148243
11-Aug-2023,125379
12-Aug-2023,122688
13-Aug-2023,134498
14-Aug-2023,137156
15-Aug-2023,131605
16-Aug-2023,146214
17-Aug-2023,137713
18-Aug-2023,115753
19-Aug-2023,112147
20-Aug-2023,126247
21-Aug-2023,121643
22-Aug-2023,119105
23-Aug-2023,121673
24-Aug-2023,146152
25-Aug-2023,124126
26-Aug-2023,119115
27-Aug-2023,184566
28-Aug-2023,161371
29-Aug-2023,162599
30-Aug-2023,166546
31-Aug-2023,192752
01-Sep-2023,162174
02-Sep-2023,144705
03-Sep-2023,188323
04-Sep-2023,162899
05-Sep-2023,157685
06-Sep-2023,154290
07-Sep-2023,165115
08-Sep-2023,146022
09-Sep-2023,130600
10-Sep-2023,164629
11-Sep-2023,175198
12-Sep-2023,146266
13-Sep-2023,143419
14-Sep-2023,156503
15-Sep-2023,145126
16-Sep-2023,132372
17-Sep-2023,133526
18-Sep-2023,132657
19-Sep-2023,132394
20-Sep-2023,143448
21-Sep-2023,154129
22-Sep-2023,133371
23-Sep-2023,134917
24-Sep-2023,130069
25-Sep-2023,156898
26-Sep-2023,153942
27-Sep-2023,197886
28-Sep-2023,213935
29-Sep-2023,185111
30-Sep-2023,158526
01-Oct-2023,194890
02-Oct-2023,192149
03-Oct-2023,167976
04-Oct-2023,160282
05-Oct-2023,168405
06-Oct-2023,149455
07-Oct-2023,125177
08-Oct-2023,138428
09-Oct-2023,145284
10-Oct-2023,157181
11-Oct-2023,150405
12-Oct-2023,159676
13-Oct-2023,136817
14-Oct-2023,120400
15-Oct-2023,131904
16-Oct-2023,137019
17-Oct-2023,135846
18-Oct-2023,134079
19-Oct-2023,148581
20-Oct-2023,130455
21-Oct-2023,109963
22-Oct-2023,126638
23-Oct-2023,131544
24-Oct-2023,135951
25-Oct-2023,167856
26-Oct-2023,220313
27-Oct-2023,164480
28-Oct-2023,145380
29-Oct-2023,162088
30-Oct-2023,166180
31-Oct-2023,167735
01-Nov-2023,191252
02-Nov-2023,247610
03-Nov-2023,215945
04-Nov-2023,153741
05-Nov-2023,163249
06-Nov-2023,159837
07-Nov-2023,155704
08-Nov-2023,150299
09-Nov-2023,162877
10-Nov-2023,142593
11-Nov-2023,132265
12-Nov-2023,145045
13-Nov-2023,147742
14-Nov-2023,145070
15-Nov-2023,141280
16-Nov-2023,152312
17-Nov-2023,140229
18-Nov-2023,123605
19-Nov-2023,136426
20-Nov-2023,140848
21-Nov-2023,135167
22-Nov-2023,139917
23-Nov-2023,141842
24-Nov-2023,125645
25-Nov-2023,123128
26-Nov-2023,164066
27-Nov-2023,209678
28-Nov-2023,185849
29-Nov-2023,186680
30-Nov-2023,211070
01-Dec-2023,169964
02-Dec-2023,153661
03-Dec-2023,174244
04-Dec-2023,177638
05-Dec-2023,173530
06-Dec-2023,186455
07-Dec-2023,189362
08-Dec-2023,165638
09-Dec-2023,146588
10-Dec-2023,172144
11-Dec-2023,162998
12-Dec-2023,155605
13-Dec-2023,156967
14-Dec-2023,166328
15-Dec-2023,144547
16-Dec-2023,134916
17-Dec-2023,154994
18-Dec-2023,154482
19-Dec-2023,137173
20-Dec-2023,152179
21-Dec-2023,161680
22-Dec-2023,138921
23-Dec-2023,128150
24-Dec-2023,155145
25-Dec-2023,174675
26-Dec-2023,177341
27-Dec-2023,224052
28-Dec-2023,213975
29-Dec-2023,172409
30-Dec-2023,164005
31-Dec-2023,208775
01-Jan-2024,212713
02-Jan-2024,196006
03-Jan-2024,191913
04-Jan-2024,189838
05-Jan-2024,162950
06-Jan-2024,151772
07-Jan-2024,169965
08-Jan-2024,175667
09-Jan-2024,175731
10-Jan-2024,181233
11-Jan-2024,176412
12-Jan-2024,155247
13-Jan-2024,140587
14-Jan-2024,153315
15-Jan-2024,157649
16-Jan-2024,155832
17-Jan-2024,155170
18-Jan-2024,164894
19-Jan-2024,146679
20-Jan-2024,146930
21-Jan-2024,154351
22-Jan-2024,158198
23-Jan-2024,157650
24-Jan-2024,166355
25-Jan-2024,196480
26-Jan-2024,160808
27-Jan-2024,157761
28-Jan-2024,226177
29-Jan-2024,211648
30-Jan-2024,198158
31-Jan-2024,200095
